BioProduct,SubstratePathway,Cost + sep,,,BioproductionCost_mass2,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-Butanediol-PW1,Acetaldehyde,1734.285394,,,1452.234112,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-Butanediol-PW2,Acetaldehyde,1704.442989,,,1422.391707,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-Diaminopropane,Acetaldehyde,1847.766552,,,1565.71527,,,Sum of Cost + sep,Column Labels,,,,,,,,,,,,,,,,,,,,,,
1-3-Propanediol,Acetaldehyde,1796.270388,,,1514.219106,,,Row Labels,Acetaldehyde,Acetate,CarbonDioxide_4,CO_1:H2_0,CO_1:H2_0.5,CO_1:H2_1,CO_1:H2_2,EG_Glycolate,EG_SACA,Ethanol,FOR_1:H2_0,FOR_1:H2_0.5,FOR_1:H2_1,FOR_1:H2_2,Formate_Formolase,Formate_RGP-Serine,Formate_SerineCycle,Glycolaldehyde_Glycolate,Glycolaldehyde_SACA,Methanol_Formolase,Methanol_RuMP,Methanol_SerineCycle,Grand Total
Succinate,Acetaldehyde,1005.854472,,,723.8031897,,,Propane-PW1,3285.197407,6737.512222,2495.651705,7494.036423,4271.840965,3564.384129,2856.926878,4205.711465,3285.195625,2767.010279,7629.541756,4363.427053,3653.974815,2943.87935,14856.20446,20657.42451,47243.58728,65636.78748,54067.65519,3064.752829,3064.752829,4155.679914,272301.1346
1-3-Butanediol-PW1,Acetate,3541.851107,,,3259.799825,,,Propane-PW2,4201.178937,8626.824293,3416.176709,7494.036423,4271.840965,3693.746189,3100.486525,4997.647043,4201.176691,3530.839651,7629.541756,4363.427053,3787.274927,3196.912418,17839.68906,25629.89885,56989.63698,79015.36275,66348.36244,3672.920377,3672.920377,5251.341816,324931.2422
1-3-Butanediol-PW2,Acetate,3541.851107,,,3259.799825,,,Shikimate,1479.543994,2978.671591,3463.014426,6089.122132,3708.043932,3205.963241,3431.591742,1635.298066,1479.543233,1252.475613,6203.618042,3793.998762,3294.973247,3571.944488,5762.671355,8168.779583,16847.65417,23255.75441,22020.54674,1210.207419,1210.207419,1801.076479,125864.7001
1-3-Diaminopropane,Acetate,3707.219762,,,3425.16848,,,Styrene,3303.805058,6898.223132,8016.644108,14566.66959,8768.446145,7545.816818,7508.67874,3665.303653,3303.803233,2759.369286,14845.48146,8977.756913,7762.567323,7788.223798,13531.96354,19286.36892,39833.80665,55565.87873,52554.41698,2655.196455,2655.196455,4069.178501,295862.7955
1-3-Propanediol,Acetate,3695.679425,,,3413.628143,,,Succinate,1005.854472,1954.930574,1625.81811,2750.919562,1725.392429,1572.091415,1799.856966,1130.668674,1005.853974,870.5512624,2800.232794,1762.413057,1611.36294,1885.939064,4054.154605,5502.413226,11093.95086,15873.15042,14122.80183,852.155854,852.155854,1255.593497,77108.26144
1-4-Butanediol,Acetate,3910.249056,,,3628.197774,,,Grand Total,125309.9086,256610.6757,162834.969,333371.7372,198953.6632,171079.458,162772.2183,148209.4391,125265.7303,106546.2302,339540.7437,203431.1616,175652.2853,168744.8772,533929.7905,741409.5151,1588463.537,2247706.169,1942240.186,108907.3122,108982.2863,157331.7299,10107293.62
1-Propanol-PW1,Acetate,5018.850976,,,4736.799693,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Propanol-PW2,Acetate,5322.395473,,,5040.344191,,,,,,,,,,,,,,,,,,,,,,,,,,
2-3-Butanediol,Acetate,3602.535151,,,3320.483869,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methyl-1-Butanol,Acetate,5676.228705,,,5394.177423,,,,,,,,,,,,,,,,,,,,,,,,,,
